seed,dataset,sp_vocab_size_1,sp_vocab_size_2,word2vec_size,kmeans_n_clusters,precision,recall,f_score
290956,m1/dev-clean,2000,2000,100,50,0.2602655357101092,0.6457378285846922,0.3709992887624466
290956,m1/dev-clean,5000,5000,100,50,0.2513917261276612,0.5022534284995841,0.3350711022788861
290956,m1/dev-clean,10000,10000,100,50,0.2426601882781658,0.386409795160448,0.2981107861278577
290956,m1/dev-clean,10000,5000,100,50,0.2452567710729916,0.4433161183001605,0.3158018022983437
290956,m1/dev-clean,10000,2000,100,50,0.2486242138364779,0.513839726106888,0.3351056784423546
290956,m1/dev-clean,10000,1000,100,50,0.2489641341819146,0.5811137546180777,0.348585318876145
290956,m1/dev-clean,10000,500,100,50,0.2431516703593934,0.6538037486218302,0.3544735227648116
290956,m1/dev-clean,10000,200,100,50,0.2336087196335643,0.7536896264918084,0.3566672006224399
290956,m1/dev-clean,15000,15000,100,50,0.2369173453474267,0.3173562351302733,0.2712999479127911
290956,m1/dev-clean,20000,20000,100,50,0.2429886284056424,0.2818816611539875,0.2609941525704512
290956,m1/dev-clean,20000,2000,100,50,0.2438183522549734,0.4527940579121453,0.3169610517977916
290956,m1/dev-clean,20000,1000,100,50,0.2435422960725075,0.4989651637362425,0.3273209448099531
290956,m1/dev-clean,20000,500,100,50,0.2416399469176812,0.5670515870713166,0.3388741185990059
290956,m1/dev-clean,20000,90,100,50,0.2350838654429696,0.7327801311437359,0.355968992248062
290956,m1/dev-clean,5000,500,100,50,0.248885591801632,0.7333023849590902,0.3716363921537873
290956,m1/dev-clean,5000,200,100,50,0.2363371183334078,0.8180622449176966,0.366727219912335
290956,m1/dev-clean,5000,1000,100,50,0.255274666994612,0.6424108783535465,0.3653645174420524
290956,m1/dev-clean,10000,100,100,50,0.2304426785115267,0.7706918895916749,0.3547980641225996
290956,m1/dev-clean,2000,100,100,50,0.2135868485148194,0.8939051045474767,0.3447905397843847
290956,m1/dev-clean,2000,200,100,50,0.2215757255988236,0.8772896961256504,0.3537941901463384
290956,m1/dev-clean,2000,500,100,50,0.24141170466934192,0.8052380123406643,0.37145929161294355
