seed,dataset,word2vec_size,squash,pipeline,words_PRC,words_RCL,words_F,words_HR,words_OS,words_R,phones_PRC,phones_RCL,phones_F,phones_HR,phones_OS,phones_R
290956,LibriSpeech/train-clean-100,100,False,200,0.08545,0.96673,0.15702,96.67348,1031.33778,-7.81481,0.27459,0.97946,0.42893,97.94594,256.70236,-1.19839
290956,LibriSpeech/train-clean-100,100,False,200-100-200,0.10515,0.88624,0.18799,88.62369,742.80313,-5.38088,0.34862,0.92638,0.5066,92.63782,165.72954,-0.44144
290956,LibriSpeech/train-clean-100,100,False,200-100-500,0.11984,0.82321,0.20922,82.3205,586.90517,-4.07339,0.40391,0.87476,0.55264,87.47626,116.57608,-0.04267
290956,LibriSpeech/train-clean-100,100,False,200-100-1000,0.12685,0.78629,0.21846,78.62892,519.86871,-3.51511,0.42971,0.83982,0.56852,83.98155,95.43998,0.12206
