seed,dataset,sp_vocab_size_1,precision,recall,f_score
290956,m1/dev-clean,2000,0.2069528595944384,0.914389059749705,0.3375160197484676
290956,m1/dev-clean,5000,0.2196317102097192,0.870442368324339,0.350759181891875
290956,m1/dev-clean,10000,0.2269829318628698,0.8105379214298148,0.3546497850299603
290956,m1/dev-clean,15000,0.2303347050278101,0.7697827810982805,0.354573722146491
290956,m1/dev-clean,20000,0.2342816849592249,0.739066519661889,0.3557817206653971
290956,m1/train-clean-100,5000,0.2270572574055679,0.8829856352575459,0.361226215662889
290956,m1/train-clean-100,10000,0.2414962993756119,0.8543919427081592,0.3765575438386498
290956,m1/train-clean-100,20000,0.2537081554681707,0.8302198582745596,0.388648593274347
290956,m1/train-clean-100,40000,0.2616028059848861,0.8036933432496574,0.394722977073664
290956,m1/train-clean-100,80000,0.2616182689596842,0.7512127302202761,0.3880824624440374
290956,m1/train-clean-100,150000,0.2566342489031403,0.6980583781796303,0.3752950059373235
290956,m2/train-clean-100,5000,0.1370451307493641,0.9276762562316224,0.2388108577189943
290956,m2/train-clean-100,10000,0.1509705488392785,0.9205025446549764,0.2593975998432469
290956,m2/train-clean-100,20000,0.1673179292644951,0.8964362348883482,0.2820009727691708
290956,m2/train-clean-100,40000,0.1828720015173774,0.8554138795769206,0.3013259664459776
290956,m2/train-clean-100,80000,0.1903426085782907,0.824390203312368,0.3092766488796106
290956,m2/train-clean-100,150000,0.1947284060004971,0.7911541905937737,0.31253253676886
290956,m2/train-clean-100,300000,0.1960541925914168,0.7451246948546275,0.310429446257685
290956,m3/train-clean-100,5000,0.2993732533558764,0.8792336807682747,0.4466612911407387
290956,m3/train-clean-100,10000,0.3162730764274738,0.8552308183564639,0.4617764963164226
290956,m3/train-clean-100,20000,0.3229057672492312,0.8425860725775332,0.4668859839972889
290956,m3/train-clean-100,40000,0.3234343424333192,0.8147066807984381,0.4630430046917272
290956,m3/train-clean-100,80000,0.3200668723837684,0.774617313638997,0.4529696218076074
290956,m1/train-clean-100,2000,0.2108121423128823,0.9198762409332486,0.3430141918627036
290956,m1/train-full-960,2000,0.2083160856407392,0.9213307911169738,0.3398018052095023
290956,m1/train-full-960,5000,0.2243132192563674,0.8853827262408749,0.3579413809754489
290956,m1/train-full-960,10000,0.2386405313899299,0.8549220447830878,0.3731273463617919
290956,m1/train-full-960,20000,0.2511571037527615,0.8370464981192844,0.3863802211504722
290956,m1/train-full-960,40000,0.2602858827479196,0.8175534093016964,0.3948596277818151
290956,m1/train-full-960,80000,0.2648302004923163,0.7947966191041358,0.3972835418947302
290956,m1/train-full-960,150000,0.2652535431166232,0.7692356746642217,0.3944796807725008
290956,m1/train-full-960,300000,0.2612975469355642,0.7241818008333069,0.3840302255375171
290956,m2/train-full-960,2000,0.1231330433522185,0.943326227281543,0.2178322837779189
290956,m2/train-full-960,5000,0.1346046276445193,0.9284821151988631,0.2351228443629474
290956,m2/train-full-960,10000,0.1483811864381856,0.9231411209699912,0.2556676120177592
290956,m2/train-full-960,20000,0.1632154412288922,0.9000397438257458,0.2763219704487205
290956,m2/train-full-960,40000,0.1741009542435475,0.8726699625297502,0.290288296668477
290956,m2/train-full-960,80000,0.182450453760541,0.8550014613572436,0.3007279707471439
290956,m2/train-full-960,150000,0.1904096796309395,0.8360746973908608,0.3101785450249429
290956,m2/train-full-960,300000,0.1974080923976874,0.8017297792149337,0.3168090227183415
290956,m2/train-full-960,500000,0.198258136177007,0.7714861279251607,0.3154510059422098
290956,m3/train-full-960,2000,0.2686862293953602,0.9258968572943682,0.4165063747634538
290956,m3/train-full-960,5000,0.2958606057381783,0.8830362914587527,0.4432205270892984
290956,m3/train-full-960,10000,0.3129637224606099,0.8583619466073998,0.4586873781098526
290956,m3/train-full-960,20000,0.3205781650638503,0.850681507967937,0.4656694380541679
290956,m3/train-full-960,40000,0.3238279349863499,0.8405064998974584,0.4675280160919746
290956,m3/train-full-960,80000,0.3236336006245941,0.819839790060957,0.4640732444743045
290956,m3/train-full-960,150000,0.32070362839811606,0.7922168765521451,0.45657677373794114
